"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Robbie Keane","Centre-Forward",19,"Coventry City","Premier League","Inter","Serie A","2000-2001",NA,19500000
"José Mari","Centre-Forward",21,"Atlético Madrid","LaLiga2","AC Milan","Serie A","2000-2001",NA,19000000
"Jonathan Zebina","Centre-Back",21,"Cagliari Calcio","Serie B","AS Roma","Serie A","2000-2001",NA,18400000
"Émerson","Defensive Midfield",24,"Bay. Leverkusen","1.Bundesliga","AS Roma","Serie A","2000-2001",NA,18000000
"Tore André Flo","Centre-Forward",27,"Chelsea","Premier League","Rangers"," Scotland","2000-2001",NA,18000000
"Sergiy Rebrov","Second Striker",26,"Dynamo Kyiv","Premier Liga","Spurs","Premier League","2000-2001",NA,18000000
"Angelo Peruzzi","Goalkeeper",30,"Inter","Serie A","Lazio","Serie A","2000-2001",NA,17900000
"Diego Tristán","Centre-Forward",24,"RCD Mallorca","LaLiga","Dep. La Coruña","LaLiga","2000-2001",NA,17750000
"Sylvain Wiltord","Second Striker",26,"G. Bordeaux","Ligue 1","Arsenal","Premier League","2000-2001",NA,17500000
"Fernando Redondo","Defensive Midfield",31,"Real Madrid","LaLiga","AC Milan","Serie A","2000-2001",NA,17500000
"Jardel","Centre-Forward",26,"FC Porto","Liga NOS","Galatasaray","Süper Lig","2000-2001",NA,17050000
"Nuno Gomes","Centre-Forward",24,"Benfica","Liga NOS","Fiorentina","Serie A","2000-2001",NA,17000000
"Sérgio Conceição","Right Winger",25,"Lazio","Serie A","Parma","Serie A","2000-2001",NA,17000000
"Alfonso","Centre-Forward",27,"Real Betis","LaLiga2","FC Barcelona","LaLiga","2000-2001",NA,16500000
"Francisco Farinós","Defensive Midfield",22,"Valencia CF","LaLiga","Inter","Serie A","2000-2001",NA,16250000
"Kakhaber Kaladze","Centre-Back",22,"Dynamo Kyiv","Premier Liga","AC Milan","Serie A","2000-2001",NA,16000000
"Francis Jeffers","Centre-Forward",20,"Everton","Premier League","Arsenal","Premier League","2000-2001",NA,15300000
"Emmanuel Petit","Defensive Midfield",29,"Arsenal","Premier League","FC Barcelona","LaLiga","2000-2001",NA,15000000
"Tomás Rosicky","Attacking Midfield",20,"Sparta Praha"," Czech Republic","Bor. Dortmund","1.Bundesliga","2000-2001",NA,14500000
"Catanha","Centre-Forward",28,"Málaga CF","LaLiga","Celta de Vigo","LaLiga","2000-2001",NA,14420000
"Juan Pablo Ángel","Centre-Forward",25,"River Plate"," Argentina","Aston Villa","Premier League","2000-2001",NA,14400000
"Mateja Kezman","Centre-Forward",21,"Partizan"," Serbia","PSV Eindhoven","Eredivisie","2000-2001",NA,14000000
"Claude Makélélé","Defensive Midfield",27,"Celta de Vigo","LaLiga","Real Madrid","LaLiga","2000-2001",NA,14000000
"Aldo Duscher","Defensive Midfield",21,"Sporting CP","Liga NOS","Dep. La Coruña","LaLiga","2000-2001",NA,13000000
"Ugo Ehiogu","Centre-Back",27,"Aston Villa","Premier League","Middlesbrough","Premier League","2000-2001",NA,12200000
"Jesper Grönkjaer","Left Winger",23,"AFC Ajax","Eredivisie","Chelsea","Premier League","2000-2001",NA,11850000
"Fabien Barthez","Goalkeeper",29,"Monaco","Ligue 1","Man Utd","Premier League","2000-2001",NA,11700000
"Edmílson","Centre-Back",23,"São Paulo"," Brazil","Olympique Lyon","Ligue 1","2000-2001",NA,11000000
"Stéphane Dalmat","Central Midfield",21,"Marseille","Ligue 1","Paris SG","Ligue 1","2000-2001",NA,10750000
"Laurén","Right-Back",23,"RCD Mallorca","LaLiga","Arsenal","Premier League","2000-2001",NA,10700000
"Pedro Munitis","Second Striker",25,"Racing","LaLiga","Real Madrid","LaLiga","2000-2001",NA,10500000
"Olivier Dacourt","Defensive Midfield",25,"Lens","Ligue 1","Leeds","Premier League","2000-2001",NA,10500000
"Carl Cort","Centre-Forward",22,"MK Dons"," England","Newcastle","Premier League","2000-2001",NA,10500000
"Stéphane Porato","Goalkeeper",26,"Marseille","Ligue 1","Monaco","Ligue 1","2000-2001",NA,10500000
"Robert Pirès","Left Midfield",26,"Marseille","Ligue 1","Arsenal","Premier League","2000-2001",NA,9800000
"Émerson","Defensive Midfield",28,"CD Tenerife","LaLiga2","Dep. La Coruña","LaLiga","2000-2001",NA,9600000
"Chris Sutton","Centre-Forward",27,"Chelsea","Premier League","Celtic"," Scotland","2000-2001",NA,9500000
"Claudio Husaín","Defensive Midfield",25,"River Plate"," Argentina","SSC Napoli","Serie A","2000-2001",NA,9300000
"Craig Bellamy","Left Winger",21,"Norwich"," England","Coventry City","Premier League","2000-2001",NA,9250000
"Mark Viduka","Centre-Forward",24,"Celtic"," Scotland","Leeds","Premier League","2000-2001",NA,9150000
"Pauleta","Centre-Forward",27,"Dep. La Coruña","LaLiga","G. Bordeaux","Ligue 1","2000-2001",NA,9100000
"Alpay Özalan","Centre-Back",27,"Fenerbahce","Süper Lig","Aston Villa","Premier League","2000-2001",NA,9000000
"Christian Ziege","Left Midfield",28,"Middlesbrough","Premier League","Liverpool","Premier League","2000-2001",NA,9000000
"Nick Barmby","Left Midfield",26,"Everton","Premier League","Liverpool","Premier League","2000-2001",NA,9000000
"Marc-Vivien Foé","Central Midfield",25,"West Ham","Premier League","Olympique Lyon","Ligue 1","2000-2001",NA,9000000
"Lúcio","Centre-Back",22,"Internacional"," Brazil","Bay. Leverkusen","1.Bundesliga","2000-2001",NA,8750000
"Christian Karembeu","Defensive Midfield",29,"Real Madrid","LaLiga","Middlesbrough","Premier League","2000-2001",NA,8750000
"Neil Lennon","Central Midfield",29,"Leicester","Premier League","Celtic"," Scotland","2000-2001",NA,8630000
"John Carew","Centre-Forward",20,"Rosenborg BK","Eliteserien","Valencia CF","LaLiga","2000-2001",NA,8500000
"Mario Stanic","Right Winger",28,"Parma","Serie A","Chelsea","Premier League","2000-2001",NA,8400000
"Igor Biscan","Centre-Back",22,"Dinamo Zagreb"," Croatia","Liverpool","Premier League","2000-2001",NA,8250000
"Julio Cruz","Centre-Forward",25,"Feyenoord","Eredivisie","Bologna","Serie A","2000-2001",NA,8200000
"Patrick Müller","Centre-Back",23,"Grasshoppers","Super League","Olympique Lyon","Ligue 1","2000-2001",NA,8000000
"Zlatko Zahovic","Attacking Midfield",29,"Olympiacos","Super League","Valencia CF","LaLiga","2000-2001",NA,8000000
"Sabri Lamouchi","Central Midfield",28,"Monaco","Ligue 1","Parma","Serie A","2000-2001",NA,7850000
"Willy Sagnol","Right-Back",23,"Monaco","Ligue 1","Bayern Munich ","1.Bundesliga","2000-2001",NA,7700000
"Johan Micoud","Attacking Midfield",26,"G. Bordeaux","Ligue 1","Parma","Serie A","2000-2001",NA,7600000
"Martín Palermo","Centre-Forward",27,"Boca Juniors"," Argentina","Villarreal CF","LaLiga","2000-2001",NA,7600000
"Ben Thatcher","Left-Back",24,"MK Dons"," England","Spurs","Premier League","2000-2001",NA,7540000
"Eidur Gudjohnsen","Centre-Forward",21,"Bolton"," England","Chelsea","Premier League","2000-2001",NA,7500000
"Bruno Cirillo","Centre-Back",23,"Reggina","Serie A","Inter","Serie A","2000-2001",NA,7500000
"Sunday Oliseh","Defensive Midfield",25,"Juventus","Serie A","Bor. Dortmund","1.Bundesliga","2000-2001",NA,7500000
"Roger","Attacking Midfield",21,"Fluminense"," Brazil","Benfica","Liga NOS","2000-2001",NA,7500000
"Dino Baggio","Defensive Midfield",29,"Parma","Serie A","Lazio","Serie A","2000-2001",NA,7500000
"Diego Placente","Left-Back",23,"River Plate"," Argentina","Bay. Leverkusen","1.Bundesliga","2000-2001",NA,7300000
"David Sesa","Second Striker",26,"Lecce","Serie A","SSC Napoli","Serie A","2000-2001",NA,7250000
"Bert Konterman","Centre-Back",29,"Feyenoord","Eredivisie","Rangers"," Scotland","2000-2001",NA,7250000
"Dominic Matteo","Left-Back",26,"Liverpool","Premier League","Leeds","Premier League","2000-2001",NA,7130000
"Mauro Germán Camoranesi","Right Midfield",24,"CD Cruz Azul"," Mexico","Hellas Verona","Serie A","2000-2001",NA,7000000
"Rodrigo Tello","Left Midfield",21,"U. de Chile"," Chile","Sporting CP","Liga NOS","2000-2001",NA,7000000
"Luís Fabiano","Centre-Forward",19,"Ponte Preta"," Brazil","Stade Rennais","Ligue 1","2000-2001",NA,7000000
"Pierre van Hooijdonk","Centre-Forward",30,"Vitesse","Eredivisie","Benfica","Liga NOS","2000-2001",NA,6800000
"Hermann Hreidarsson","Centre-Back",25,"MK Dons"," England","Ipswich","Premier League","2000-2001",NA,6750000
"Émerson Thome","Centre-Back",28,"Chelsea","Premier League","Sunderland","Premier League","2000-2001",NA,6700000
"Hakan Sükür","Centre-Forward",28,"Galatasaray","Süper Lig","Inter","Serie A","2000-2001",NA,6500000
"Philippe Delaye","Central Midfield",25,"Montpellier","Ligue 2","Stade Rennais","Ligue 1","2000-2001",NA,6500000
"Alex Nyarko","Centre-Back",26,"Lens","Ligue 1","Everton","Premier League","2000-2001",NA,6300000
"Bob Peeters","Centre-Forward",26,"Roda JC","Eredivisie","Vitesse","Eredivisie","2000-2001",NA,6300000
"César Sánchez","Goalkeeper",28,"Real Valladolid","LaLiga","Real Madrid","LaLiga","2000-2001",NA,6250000
"Carlos Gamarra","Centre-Back",29,"Atlético Madrid","LaLiga2","Flamengo"," Brazil","2000-2001",NA,6250000
"Patrick M'Boma","Centre-Forward",29,"Cagliari Calcio","Serie B","Parma","Serie A","2000-2001",NA,6100000
"Claus Jensen","Attacking Midfield",23,"Bolton"," England","Charlton","Premier League","2000-2001",NA,6000000
"Lucas Bernardi","Central Midfield",22,"Newell's"," Argentina","Marseille","Ligue 1","2000-2001",NA,6000000
"Alain Goma","Centre-Back",28,"Newcastle","Premier League","Fulham"," England","2000-2001",NA,6000000
"Frédéric Déhu","Centre-Back",27,"FC Barcelona","LaLiga","Paris SG","Ligue 1","2000-2001",NA,6000000
"Esteban Fuertes","Centre-Forward",27,"Derby","Premier League","Lens","Ligue 1","2000-2001",NA,6000000
"Milan Rapaic","Left Midfield",26,"Perugia","Serie A","Fenerbahce","Süper Lig","2000-2001",NA,6000000
"Sebastián Cejas","Goalkeeper",26,"Newell's"," Argentina","AS Roma","Serie A","2000-2001",NA,6000000
"Zé Elias","Central Midfield",23,"Bologna","Serie A","Olympiacos","Super League","2000-2001",NA,5800000
"Joos Valgaeren","Centre-Back",24,"Roda JC","Eredivisie","Celtic"," Scotland","2000-2001",NA,5700000
"Bülent Akin","Defensive Midfield",21,"Denizlispor","Süper Lig","Galatasaray","Süper Lig","2000-2001",NA,5500000
"Ronald de Boer","Right Winger",30,"FC Barcelona","LaLiga","Rangers"," Scotland","2000-2001",NA,5500000
"Fernando Ricksen","Right-Back",23,"AZ Alkmaar","Eredivisie","Rangers"," Scotland","2000-2001",NA,5400000
"Duncan Ferguson","Centre-Forward",28,"Newcastle","Premier League","Everton","Premier League","2000-2001",NA,5400000
"Giorgi Demetradze","Centre-Forward",24,"Dynamo Kyiv","Premier Liga","Real Sociedad","LaLiga","2000-2001",NA,5400000
"Christian Bassedas","Attacking Midfield",27,"Vélez Sarsfield"," Argentina","Newcastle","Premier League","2000-2001",NA,5300000
"José Luis Chilavert","Goalkeeper",35,"Vélez Sarsfield"," Argentina","R. Strasbourg","Ligue 1","2000-2001",NA,5300000
"Roberto Ayala","Centre-Back",27,"AC Milan","Serie A","Valencia CF","LaLiga","2000-2001",NA,5000000
"Viorel Moldovan","Centre-Forward",28,"Fenerbahce","Süper Lig","FC Nantes","Ligue 1","2000-2001",NA,5000000
"Vratislav Gresko","Left-Back",23,"Bay. Leverkusen","1.Bundesliga","Inter","Serie A","2000-2001",NA,5000000
"Giorgi Kinkladze","Attacking Midfield",27,"AFC Ajax","Eredivisie","Derby","Premier League","2000-2001",NA,5000000
"Serkan Aykut","Centre-Forward",25,"Samsunspor","Süper Lig","Galatasaray","Süper Lig","2000-2001",NA,5000000
"Fernandão","Centre-Forward",22,"Goiás EC"," Brazil","Marseille","Ligue 1","2000-2001",NA,5000000
"Haim Revivo","Attacking Midfield",28,"Celta de Vigo","LaLiga","Fenerbahce","Süper Lig","2000-2001",NA,5000000
"Vicente","Left Winger",18,"Levante UD","LaLiga2","Valencia CF","LaLiga","2000-2001",NA,4800000
"Julio Arca","Central Midfield",19,"Argentinos"," Argentina","Sunderland","Premier League","2000-2001",NA,4700000
"Richard Dunne","Centre-Back",21,"Everton","Premier League","Man City","Premier League","2000-2001",NA,4500000
"Gary Rowett","Right-Back",26,"Birmingham"," England","Leicester","Premier League","2000-2001",NA,4500000
"Richard Núñez","Attacking Midfield",25,"Danubio FC"," Uruguay","Grasshoppers","Super League","2000-2001",NA,4500000
"David Thompson","Right Midfield",22,"Liverpool","Premier League","Coventry City","Premier League","2000-2001",NA,4500000
"Alessandro Pistone","Left-Back",24,"Newcastle","Premier League","Everton","Premier League","2000-2001",NA,4500000
"Joseph-Désiré Job","Centre-Forward",22,"Lens","Ligue 1","Middlesbrough","Premier League","2000-2001",NA,4500000
"Radostin Kishishev","Defensive Midfield",25,"Litex Lovetch"," Bulgaria","Charlton","Premier League","2000-2001",NA,4500000
"Bernard Diomède","Left Winger",26,"AJ Auxerre","Ligue 1","Liverpool","Premier League","2000-2001",NA,4500000
"Sixto Peralta","Central Midfield",21,"Racing Club"," Argentina","Inter","Serie A","2000-2001",NA,4500000
"David Johnson","Left Winger",24,"Ipswich","Premier League","Nottm Forest"," England","2000-2001",NA,4500000
"Kennet Andersson","Centre-Forward",32,"Bologna","Serie A","Fenerbahce","Süper Lig","2000-2001",NA,4500000
"Marquinhos","Attacking Midfield",18,"Avaí FC"," Brazil","Bay. Leverkusen","1.Bundesliga","2000-2001",NA,4500000
"Alan Thompson","Left Midfield",26,"Aston Villa","Premier League","Celtic"," Scotland","2000-2001",NA,4400000
"Jonatan Johansson","Centre-Forward",24,"Rangers"," Scotland","Charlton","Premier League","2000-2001",NA,4300000
"Rodolfo Arruabarrena","Left-Back",24,"Boca Juniors"," Argentina","Villarreal CF","LaLiga","2000-2001",NA,4200000
"Rigobert Song","Centre-Back",24,"Liverpool","Premier League","West Ham","Premier League","2000-2001",NA,4100000
"José Francisco Molina","Goalkeeper",29,"Atlético Madrid","LaLiga2","Dep. La Coruña","LaLiga","2000-2001",NA,4100000
"Jörg Heinrich","Left Midfield",30,"Fiorentina","Serie A","Bor. Dortmund","1.Bundesliga","2000-2001",NA,4100000
"Adrian Mutu","Centre-Forward",21,"Inter","Serie A","Hellas Verona","Serie A","2000-2001",NA,4000000
"Fernando Meira","Centre-Back",22,"Vit. Guimarães","Liga NOS","Benfica","Liga NOS","2000-2001",NA,4000000
"Gianni Guigou","Defensive Midfield",25,"Nacional"," Uruguay","AS Roma","Serie A","2000-2001",NA,4000000
"Richard Dutruel","Goalkeeper",27,"Celta de Vigo","LaLiga","FC Barcelona","LaLiga","2000-2001",NA,4000000
"Pascal Nouma","Centre-Forward",28,"Lens","Ligue 1","Besiktas","Süper Lig","2000-2001",NA,4000000
"Craig Hignett","Right Winger",30,"Barnsley FC"," England","Blackburn"," England","2000-2001",NA,4000000
"Zoran Mirkovic","Right-Back",28,"Juventus","Serie A","Fenerbahce","Süper Lig","2000-2001",NA,4000000
"Charles Amoah","Centre-Forward",25,"FC St. Gallen","Super League","Sturm Graz","Bundesliga","2000-2001",NA,3930000
"Niclas Alexandersson","Right Midfield",28,"Sheff Wed"," England","Everton","Premier League","2000-2001",NA,3800000
"Darren Huckerby","Right Winger",24,"Leeds","Premier League","Man City","Premier League","2000-2001",NA,3800000
"David Hopkin","Right Midfield",29,"Leeds","Premier League","Bradford City","Premier League","2000-2001",NA,3750000
"Alf-Inge Haland","Defensive Midfield",27,"Leeds","Premier League","Man City","Premier League","2000-2001",NA,3750000
"Lomana LuaLua","Second Striker",19,"Colchester Utd."," England","Newcastle","Premier League","2000-2001",NA,3750000
"Steve Watson","Right Midfield",26,"Aston Villa","Premier League","Everton","Premier League","2000-2001",NA,3750000
"Lee Carsley","Defensive Midfield",26,"Blackburn"," England","Coventry City","Premier League","2000-2001",NA,3750000
"Don Hutchison","Attacking Midfield",29,"Everton","Premier League","Sunderland","Premier League","2000-2001",NA,3750000
"Didier Deschamps","Defensive Midfield",31,"Chelsea","Premier League","Valencia CF","LaLiga","2000-2001",NA,3500000
"Santiago Solari","Left Midfield",23,"Atlético Madrid","LaLiga2","Real Madrid","LaLiga","2000-2001",NA,3500000
"Thomas Gravesen","Defensive Midfield",24,"Hamburger SV","1.Bundesliga","Everton","Premier League","2000-2001",NA,3500000
"Jeong-hwan Ahn","Centre-Forward",23,"Busan IPark"," Korea, South","Perugia","Serie A","2000-2001",NA,3500000
"Vasilios Tsiartas","Attacking Midfield",27,"Sevilla FC","LaLiga2","AEK Athens","Super League","2000-2001",NA,3500000
"Stephen Hughes","Defensive Midfield",23,"Arsenal","Premier League","Everton","Premier League","2000-2001",NA,3500000
"Marc Wilmots","Attacking Midfield",31,"FC Schalke 04","1.Bundesliga","G. Bordeaux","Ligue 1","2000-2001",NA,3500000
"Alen Boksic","Centre-Forward",30,"Lazio","Serie A","Middlesbrough","Premier League","2000-2001",NA,3450000
"Geoff Horsfield","Centre-Forward",26,"Fulham"," England","Birmingham"," England","2000-2001",NA,3380000
"Louis Saha","Centre-Forward",21,"FC Metz","Ligue 1","Fulham"," England","2000-2001",NA,3150000
"Marcus Bent","Centre-Forward",22,"Sheffield Utd."," England","Blackburn"," England","2000-2001",NA,3150000
"Vratislav Lokvenc","Centre-Forward",26,"Sparta Praha"," Czech Republic","1.FC K'lautern","1.Bundesliga","2000-2001",NA,3150000
"Aleksey Smertin","Defensive Midfield",25,"Loko Moscow","Premier Liga","G. Bordeaux","Ligue 1","2000-2001",NA,3000000
"Stjepan Tomas","Centre-Back",24,"Dinamo Zagreb"," Croatia","Vicenza","Serie A","2000-2001",NA,3000000
"Jason Roberts","Centre-Forward",22,"Bristol Rovers"," England","West Brom"," England","2000-2001",NA,3000000
"Emmanuel Olisadebe","Centre-Forward",22,"Pol. Warsaw","Ekstraklasa","Panathinaikos","Super League","2000-2001",NA,3000000
"Danny Higginbotham","Centre-Back",21,"Man Utd","Premier League","Derby","Premier League","2000-2001",NA,3000000
"Andrew O'Brien","Centre-Back",21,"Bradford City","Premier League","Newcastle","Premier League","2000-2001",NA,3000000
"Antonio Pacheco","Second Striker",24,"Peñarol"," Uruguay","Inter","Serie A","2000-2001",NA,3000000
"Noel Whelan","Centre-Forward",25,"Coventry City","Premier League","Middlesbrough","Premier League","2000-2001",NA,3000000
"Changui","Centre-Forward",23,"SD Compostela","LaLiga2","Dep. La Coruña","LaLiga","2000-2001",NA,3000000
"Shaun Bartlett","Centre-Forward",28,"FC Zürich","Super League","Charlton","Premier League","2000-2001",NA,3000000
"Dmitri Alenichev","Central Midfield",27,"AS Roma","Serie A","FC Porto","Liga NOS","2000-2001",NA,3000000
"Andrejs Stolcers","Attacking Midfield",26,"Shakhtar D.","Premier Liga","Fulham"," England","2000-2001",NA,3000000
"Oktay Derelioglu","Centre-Forward",24,"Siirtspor","Süper Lig","UD Las Palmas","LaLiga","2000-2001",NA,3000000
"Bjørn Otto Bragstad","Centre-Back",29,"Rosenborg BK","Eliteserien","Derby","Premier League","2000-2001",NA,3000000
"Kenny Miller","Centre-Forward",20,"Hibernian FC"," Scotland","Rangers"," Scotland","2000-2001",NA,3000000
"Johan Elmander","Centre-Forward",19,"Örgryte"," Sweden","Feyenoord","Eredivisie","2000-2001",NA,2900000
"Milan Fukal","Centre-Back",25,"Sparta Praha"," Czech Republic","Hamburger SV","1.Bundesliga","2000-2001",NA,2900000
"Andrejs Rubins","Left Winger",21,"Skonto Riga"," Latvia","Crystal Palace"," England","2000-2001",NA,2800000
"Marcel Ketelaer","Left Midfield",22,"Bor. M'gladbach","2.Bundesliga","Hamburger SV","1.Bundesliga","2000-2001",NA,2800000
"John Collins","Left Midfield",32,"Everton","Premier League","Fulham"," England","2000-2001",NA,2750000
"Didier Martel","Forward",28,"FC Utrecht","Eredivisie","Vitesse","Eredivisie","2000-2001",NA,2750000
"Bernard Mendy","Right-Back",18,"SM Caen","Ligue 2","Paris SG","Ligue 1","2000-2001",NA,2700000
"Danijel Ljuboja","Centre-Forward",21,"FC Sochaux","Ligue 2","R. Strasbourg","Ligue 1","2000-2001",NA,2700000
"Tomás Galásek","Defensive Midfield",27,"Willem II","Eredivisie","AFC Ajax","Eredivisie","2000-2001",NA,2700000
"Yoshikatsu Kawaguchi","Goalkeeper",26,"Yokohama F. M.","J1 - 2nd Stage","Portsmouth","First Division","2000-2001",NA,2700000
"Gabriel Schürrer","Centre-Back",28,"Dep. La Coruña","LaLiga","UD Las Palmas","LaLiga","2000-2001",NA,2700000
"Henning Berg","Right-Back",30,"Man Utd","Premier League","Blackburn"," England","2000-2001",NA,2630000
"Gary Naysmith","Left-Back",21,"Heart of Midl."," Scotland","Everton","Premier League","2000-2001",NA,2630000
"Petri Pasanen","Centre-Back",19,"FC Lahti"," Finland","AFC Ajax","Eredivisie","2000-2001",NA,2600000
"Christian Dailly","Centre-Back",27,"Blackburn"," England","West Ham","Premier League","2000-2001",NA,2600000
"Jesper Christiansen","Goalkeeper",22,"Odense BK"," Denmark","Rangers"," Scotland","2000-2001",NA,2550000
"Nikola Lazetic","Right Winger",22,"FK Obilic"," Serbia","Fenerbahce","Süper Lig","2000-2001",NA,2500000
"Tim Cornelisse","Right-Back",22,"RKC Waalwijk","Eredivisie","Vitesse","Eredivisie","2000-2001",NA,2500000
"Abdelilah Saber","Right-Back",26,"Sporting CP","Liga NOS","SSC Napoli","Serie A","2000-2001",NA,2500000
"Callum Davidson","Left-Back",24,"Blackburn"," England","Leicester","Premier League","2000-2001",NA,2500000
"Fazli Ulusal","Centre-Forward",26,"Antalyaspor","Süper Lig","Besiktas","Süper Lig","2000-2001",NA,2500000
"Ole Martin Arst","Centre-Forward",25,"KAA Gent","Jupiler Pro League","Standard Liège","Jupiler Pro League","2000-2001",NA,2500000
"Feliciano Magro","Attacking Midfield",21,"Grasshoppers","Super League","Udinese Calcio","Serie A","2000-2001",NA,2500000
"Jean-François Gillet","Goalkeeper",21,"Monza","Serie B","Bari","Serie A","2000-2001",NA,2500000
"Dimitar Berbatov","Centre-Forward",19,"CSKA Sofia"," Bulgaria","Bay. Leverkusen","1.Bundesliga","2000-2001",NA,2500000
"Cédric Roussel","Centre-Forward",23,"Coventry City","Premier League","Wolves"," England","2000-2001",NA,2400000
"Per Frandsen","Right Midfield",30,"Blackburn"," England","Bolton"," England","2000-2001",NA,2400000
"Luciano","Right Midfield",24,"Bologna","Serie A","Chievo Verona","Serie B","2000-2001",NA,2330000
"Edgaras Jankauskas","Centre-Forward",25,"Club Brugge","Jupiler Pro League","Real Sociedad","LaLiga","2000-2001",NA,2300000
"Alan Mahon","Left Midfield",22,"Sporting CP","Liga NOS","Blackburn"," England","2000-2001",NA,2300000
"Gustavo Nery","Left-Back",22,"Guarani"," Brazil","São Paulo"," Brazil","2000-2001",NA,2300000
"Ciriaco Sforza","Central Midfield",30,"1.FC K'lautern","1.Bundesliga","Bayern Munich ","1.Bundesliga","2000-2001",NA,2300000
"David Hopkin","Right Midfield",30,"Bradford City","Premier League","Crystal Palace"," England","2000-2001",NA,2250000
"Paul Robinson","Centre-Forward",21,"Newcastle","Premier League","MK Dons"," England","2000-2001",NA,2250000
"Karel Poborsky","Right Midfield",28,"Benfica","Liga NOS","Lazio","Serie A","2000-2001",NA,2250000
"Rab Douglas","Goalkeeper",28,"Dundee FC"," Scotland","Celtic"," Scotland","2000-2001",NA,2250000
"Erman Güracar","Centre-Back",25,"Samsunspor","Süper Lig","Besiktas","Süper Lig","2000-2001",NA,2250000
"Trevor Benjamin","Centre-Forward",21,"Cambridge Utd."," England","Leicester","Premier League","2000-2001",NA,2250000
"John Curtis","Right-Back",21,"Man Utd","Premier League","Blackburn"," England","2000-2001",NA,2250000
"Peter Lövenkrands","Centre-Forward",20,"Akademisk BK"," Denmark","Rangers"," Scotland","2000-2001",NA,2200000
"Ivica Dragutinovic","Centre-Back",24,"KAA Gent","Jupiler Pro League","Standard Liège","Jupiler Pro League","2000-2001",NA,2200000
"Francesc Arnau","Goalkeeper",25,"FC Barcelona","LaLiga","Málaga CF","LaLiga","2000-2001",NA,2100000
"Bernt Haas","Right-Back",22,"Grasshoppers","Super League","Sunderland","Premier League","2000-2001",NA,2100000
"Pascal Ojigwe","Defensive Midfield",23,"1. FC Köln","1.Bundesliga","Bay. Leverkusen","1.Bundesliga","2000-2001",NA,2100000
"Chris Makin","Left-Back",27,"Sunderland","Premier League","Ipswich","Premier League","2000-2001",NA,2100000
"Frank Verlaat","Centre-Back",32,"AFC Ajax","Eredivisie","Werder Bremen","1.Bundesliga","2000-2001",NA,2100000
"Ashley Ward","Centre-Forward",29,"Blackburn"," England","Bradford City","Premier League","2000-2001",NA,2100000
"David Healy","Centre-Forward",21,"Man Utd","Premier League","Preston NE"," England","2000-2001",NA,2000000
"Georgi Peev","Right Midfield",21,"Lok. Sofia"," Bulgaria","Dynamo Kyiv","Premier Liga","2000-2001",NA,2000000
"Hervé Tum","Centre-Forward",21,"FC Sion","Super League","FC Basel","Super League","2000-2001",NA,2000000
"Goran Gavrancic","Centre-Back",22,"Cukaricki"," Serbia","Dynamo Kyiv","Premier Liga","2000-2001",NA,2000000
"Elvir Bolic","Centre-Forward",28,"Fenerbahce","Süper Lig","Rayo Vallecano","LaLiga","2000-2001",NA,2000000
"Aleksandr Panov","Centre-Forward",24,"Zenit S-Pb","Premier Liga","Saint-Étienne","Ligue 1","2000-2001",NA,2000000
"Marzouq Al-Otaibi","Centre-Forward",0,"Shabab"," Saudi Arabia","Ittihad"," Saudi Arabia","2000-2001",NA,2000000
