Nombre del proyecto,Tipo de aplicación,Descripción,Categoría,Año del proyecto,Licencia,URL,URL Código,Organización,E-mail de contacto,Características,Versión,Fecha,URL Video,URL Documentación
La unidad informa y escucha,Software Público,"La unidad informa y escucha, una herramienta que le permitirá acercarse a la Unidad de Atención y Reparación Integral a las Víctimas, obteniendo información sobre la misma, interactuando mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.",Justicia y Derecho,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Envío de SMS informativos. Envío de encuestas: permite la creación, edición y envío de encuestas a dispositivos móviles, además de la recepción y análisis de las respuestas, de manera automatizada.  Reportes: Este componente ofrecerá una interfaz intuitiva y eficaz para el análisis de datos correspondientes a las respuestas por parte de los usuarios móviles.  Componente OG Open Goverment una práctica que permite una transparencia de la información en las entidades de los gobiernos, el complemento permite generar una fuente de información de acceso mediante API REST que permite el consumo de información de interés solo a las personas interesadas o autorizadas, además de poseer un portal informativo y de carácter público con estadísticas y la implementación de mapas térmicos.",1.0,01/13/2014 12:00:00 AM,,
Aplicación Justicia para Todos,Software Público,"Brinda a los ciudadanos orientación sobre dónde acudir frente a cualquier hecho que genere conflicto o que impacte la convivencia ciudadana, podrá consultar información sobre ubicación geográfica, reproducir vídeos informativos, realizar consultas y/o sugerencias que contribuyan al mejoramiento de los programas nacionales de casas de justicia y centros de convivencia ciudadana y acceder a la cuenta de Twitter del Ministerio de Justicia.",Justicia y Derecho,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Información sobre programas: orientar a las personas de acuerdo a palabras claves con respecto a qué tipo de entidad les puede ayudar al interior de las Casas de Justicia y Centros de Convivencia Ciudadana. Presentación de vídeos de los programas de origen de YouTube los cuales se presenta y da información de los programas Casas de Justicia y Centros de convivencia ciudadana. Envío de correos y Tweets al ministerio de justicia: permitir enviar correos al ministerio por parte de los usuarios de la misma. Consulta de información offline:  consultar la información cuando el dispositivo se encuentra sin conexión a Internet y en caso de enviarse algún mensaje de correo, éste se envíe en el momento en que se tenga conexión. También debe posibilitar la actualización de los datos que se consultan.",1.0,01/17/2014 12:00:00 AM,,
Aplicación inmobiliario provictimas,Software Público,"La aplicación desarrollada para el reto de Inmobiliaria Pro-Victimas, propuesto por la Unidad para la Atención y Reparación Integral a las Victimas, el cual se identifica con el nombre de  Inmovic, dicha aplicación tiene como objetivo que los ciudadanos, nacionales o extranjeros puedan identificar las ofertas de información sobre los bienes disponibles para arrendamiento por parte del Fondo para la Reparación de las Victimas, conociendo fotografías, formulario de solicitud, cánones de arrendamiento, tipos de bien, ubicación de los bienes, contactos",Negocios,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Además los ciudadanos también tendrán la oportunidad de conocer la información de bienes tales como: vehículos y otras pertenencias que están para la venta. Para tal objetivo, la aplicación le permite al usuario realizar búsquedas personalizadas de los bienes que se tienen para arrendamiento y para la venta, mostrando la información citada anteriormente, además de permitir la ubicación de estos bienes en un mapa, con el fin de dar mayor claridad a los usuarios de la ubicación de los inmuebles. Adicionalmente la aplicación permite la integración con las redes sociales, con el fin de promover el conocimiento de los bienes y así poder tener un mayor recaudo que permita la reparación integral de las víctimas del conflicto.",1.0,2014-09-03T00:00:00.000,,
INCI Radio,Software Público,Herramienta que permite acceder a la información de interés especial para personas con alguna discapacidad visual que el Instituto Nacional para Ciegos INCI ha dispuesto a través de la emisora INCI Radio.,"Vivienda, Ciudad y Territorio",2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Programación por categorías como educativa, cultural democracia participativa, salud y rehabilitación, parrilla de programación, señal en vivo, comunicación vía Skype con la emisora, búsqueda de contenidos por locutor, fecha y nombre del programa.",1.0,07/31/2014 12:00:00 AM,,
ILike Acasias,Software Público,"La aplicación permite desplegar la información correspondiente a los datos de los diferentes sitios ubicados en el municipio de Acacias (Meta) publicados a través del servicio de datos abiertos. Para este fin, la aplicación permite a los usuarios realizar búsquedas, comentarios y calificar los diferentes sitios.","Vivienda, Ciudad y Territorio",2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Mapa de Acacias, búsqueda por categorías (restaurantes, supermercados, bares, heladerías etc.) Despliegue de la ubicación de la persona, opción de cómo llegar a un destino.",1.0,08/31/2014 12:00:00 AM,,
FNA Ahorro V&E,Software Público,"El usuario tendrá en la aplicación móvil FNA MÁS VIVIENDA Y EDUCACIÓN, una herramienta que le permitirá acercarse a la entidad Fondo Nacional del Ahorro, obteniendo información sobre la misma, interactuando con mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.",Negocios,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Educación: esta funcionalidad tiene que ver con la oferta de educación (convenios educativos). allí el usuario, podrá conocer de primera mano las universidades y programas que cuentan con descuentos en la matrícula para los afiliados del FNA la búsqueda se puede realizar por ciudad y por carrera. Vivienda esta funcionalidad da a conocer a través de la aplicación, la oferta inmobiliaria para los afiliados al FNA, la cual cuenta con valores como el valor del crédito a solicitar por cada proyecto, así como un primer cálculo de la cuota que el usuario tendrá que pagar al FNA para adquirir el predio que se acomode a sus posibilidades. Contacto: esta opción permite que la entidad reciba información del usuario interesado en los proyectos de vivienda. Políticas de uso brinda información acerca del uso de la información provista por la aplicación. Compartir en redes sociales el usuario ingresará a la aplicación móvil desde su Smartphone, la aplicación presentará en la parte superior el botón “compartir”, al seleccionarlo el usuario encontrará un listado con las siguientes opciones: Google,  Facebook, Twitter",1.0,02/16/2014 12:00:00 AM,,
FNA en tu bolsillo,Software Público,"El usuario tendrá en la aplicación móvil FNA en tu Bolsillo, una herramienta que le permitirá acercarse a la entidad Fondo Nacional del Ahorro, obteniendo información sobre la misma, interactuando con mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.",Negocios,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Puntos de atención y recaudo del FNA más cercanos a su posición actual donde podrá consultar los siguientes datos: Tipo de servicio: atención o recaudo, Nombre del punto o entidad. Cómo llegar. Consultar el portafolio de servicios como vivienda, ahorro, educación, cesantías. Solicitar asesoría. Mis finanzas: Muestra información sobre el ahorro en el periodo como ingresos y egresos.",1.0,02/17/2014 12:00:00 AM,,
Control Social DPS,Software Público,"Control Social  DPS es una aplicación que permite la participación ciudadana y toma de decisiones para la inversión de recursos públicos, en inclusión social y reconciliación",Economía y Finanzas,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Consulta de datos de inversión por los siguientes criterios: departamento, municipio, entidad, programa. Despliegue de la información de tres maneras: Mapa: se representa gráficamente el nivel de inversión mediante una escala de colores. Gráfico: la información se muestra mediante un gráfico de barras, donde se cargan los datos de inversión (en millones de pesos) para cada año. Informe: allí se presenta una tabla con el detalle de la inversión por entidad. El usuario puede incluir los indicadores que desee (familias, personas inversión, proyectos, hectáreas)",1.0,02/13/2014 12:00:00 AM,,
Evaluon,Software Público,"Evaluon, es una aplicación que permite que las personas con discapacidad visual presenten pruebas evaluativas de nivel educativo o de trabajo de manera autónoma, independiente y en condiciones de equidad, por medio de un aplicativo móvil o una computadora.",Educación,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Para cumplir este objetivo, la aplicación le brinda al ciudadano:
Utiliza la accesibilidad de los dispositivos móviles para que las personas con discapacidad visual pueda presentar pruebas sin ninguna dificulta escuchando las preguntas y descripciones de cada una de ellas. Tiene un banco de preguntas que podrán practicar y desafiar sus conocimientos las veces que lo requieran antes de cada prueba, y así familiarizarse con el sistema. Consulta los resultas y identifica el promedio de aprendizaje que cada persona va obtener a medida de que va subiendo los puntajes por preguntas contestadas.  Las instituciones y organizaciones ahora podrán generar inclusión social a las personas con discapacidad visual de una manera más dinámica e interactivas.",1.0,12/20/2014 12:00:00 AM,,
Discapp,Software Público,"Esta aplicación permite a las personas con discapacidad el acceso al portafolio de servicios en salud, educación y trabajo por parte de las entidades públicas en Colombia; permite guardar como favoritos la información de los distintos portafolios para facilitar el acceso a las ofertas más llamativas para el usuario además de compartirlas en diferentes redes sociales, ver la ubicación de las empresas que ofrecen las ofertas en el mapa y dibujar una ruta para llegar a ella.",Salud y Protección Social,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Consulta de información sobre ofertas en plan obligatorio de salud, consulta de información sobre ofertas en salud, consulta de información sobre ofertas en educación, consulta de información sobre ofertas en trabajo. Favoritos las ofertas en la aplicación debe poder marcarse como favorita. Geolocalización: La aplicación debe geolocalizar la ubicación de las ofertas que tengan una dirección valida.  Accesibilidad: Compatible con TalkBack y Voiceover para que pueda ser usada por personas con discapacidad visual y baja visión permanente.",1.0,03/17/2015 12:00:00 AM,,
Deseapp,Software Público,Dar a los ciudadanos una forma de entablar una comunicación primaria con las personas con una limitación auditiva y viceversa,Salud y Protección Social,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,Registro y autenticación de usuarios: El sistema debe permitir al INSOR administrar los usuarios propios y los que se registren por medio de la aplicación móvil. Administrar y ver noticias: El sistema debe permitir al INSOR administrar noticias para la comunidad sorda en Colombia los cuales verán por medio de la aplicación móvil. Administras y ver palabras y frases del diccionario: El sistema debe permitir al INSOR administrar las palabras y frases del diccionario de lenguaje de señas colombiano los cuales podrán ser vistos por los usuarios a través de la aplicación móvil. Recibir en el Insor aportes de la comunidad al diccionario: El sistema debe permitir al INSOR recibir aportes de la comunidad al diccionario de lenguaje de señas colombiano a través de la aplicación móvil. Jugar a través de la aplicación movil: El sistema debe permitir al INSOR administrar las preguntas del juego para que se pueda jugar desde la aplicación móvil.,1.0,12/19/2014 12:00:00 AM,,
Cuidándote,Software Público,"La aplicación móvil tiene el propósito  dar solución al reto Atención Integral a Niños y Niñas planteado por el ICBF, la aplicación  permite a los diferentes usuarios registrar trimestralmente los datos nutricionales (peso y talla) de sus niños y niñas y a partir de esto hacer un seguimiento nutricional que también se ve reflejado en gráficas, además conocer los centros zonales, las novedades que son publicadas en la cuenta de Twitter del instituto en relación a la niñez, ver  tips de alimentación y cuidado, y notificaciones sobre tiempos de vacunación de acuerdo a la edad de sus niños y niñas.",Salud y Protección Social,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Seguimiento y actualización: permite en control de un niño o niña ingresando datos concretos como: nombre, sexo, fecha de nacimiento, Peso actual, Talla actual, para generar un registro y posteriormente un seguimiento al niño o niña. Notificaciones acerca de vacunación y datos: Sección informativa para los usuarios en donde se muestra el esquema de vacunación de los niños por edad. Noticias acerca de la primera infancia, nutrición y sonrisas por siempre. Saludable: se visualiza información referente a la alimentación saludable que deben tener los niños o niñas. Centros: muestra información de los centros que tiene en el país el ICBF, para esto el usuario selecciona regional y centro zonal. Gráficas: ofrece al usuario la opción de verificar el avance de los niños o niñas por medio de gráficas que toman el peso versus las tomas y la talla versus las tomas",1.0,11/25/2014 12:00:00 AM,,
